Tempo	Acel X	Acel Y	Acel Z
2024-02-18 04:06:01.78228	-2.692001953	3.084785156	8.957373047
2024-02-18 04:06:01.82110	-2.730322266	3.084785156	8.823251953
2024-02-18 04:06:01.85809	-2.921923828	2.988984375	8.813671875
2024-02-18 04:06:01.89641	-2.931503906	3.123105469	8.851992188
2024-02-18 04:06:01.93528	-2.739902344	2.988984375	8.823251953
2024-02-18 04:06:01.97357	-2.931503906	3.123105469	8.938212891
2024-02-18 04:06:01.101253	-2.730322266	3.113525391	8.832832031
2024-02-18 04:06:01.105087	-2.730322266	3.075205078	8.861572266
2024-02-18 04:06:01.108817	-2.701582031	2.988984375	8.957373047
2024-02-18 04:06:01.112584	-2.739902344	2.988984375	8.832832031
2024-02-18 04:06:01.116406	-2.7590625	3.017724609	8.957373047
2024-02-18 04:06:01.120245	-2.730322266	3.017724609	8.832832031
2024-02-18 04:06:01.124066	-2.7590625	2.988984375	8.832832031
2024-02-18 04:06:01.127964	-2.730322266	2.998564453	8.851992188
2024-02-18 04:06:01.131890	-2.749482422	3.103945313	8.832832031
2024-02-18 04:06:01.135586	-2.711162109	3.123105469	8.832832031
2024-02-18 04:06:01.140510	-2.7590625	3.113525391	8.823251953
2024-02-18 04:06:01.144039	-2.730322266	3.103945313	8.823251953
2024-02-18 04:06:01.147537	-2.739902344	3.008144531	8.813671875
2024-02-18 04:06:01.150986	-2.739902344	3.075205078	8.823251953
2024-02-18 04:06:01.154395	-2.739902344	3.084785156	8.832832031
2024-02-18 04:06:01.157901	-2.720742188	3.132685547	8.813671875
2024-02-18 04:06:01.161319	-2.720742188	2.988984375	8.823251953
2024-02-18 04:06:01.164776	-2.749482422	3.132685547	8.842412109
2024-02-18 04:06:01.168318	-2.7590625	2.988984375	8.823251953
2024-02-18 04:06:01.171749	-2.921923828	2.998564453	8.957373047
2024-02-18 04:06:01.175108	-2.720742188	3.132685547	8.832832031
2024-02-18 04:06:01.178615	-2.739902344	3.113525391	8.957373047
2024-02-18 04:06:01.182016	-2.739902344	3.008144531	8.861572266
2024-02-18 04:06:01.185505	-2.701582031	3.075205078	8.842412109
2024-02-18 04:06:01.188904	-2.711162109	3.008144531	8.842412109
2024-02-18 04:06:01.192435	-2.739902344	3.123105469	8.823251953
2024-02-18 04:06:01.195928	-2.739902344	2.988984375	8.842412109
2024-02-18 04:06:01.199488	-2.7590625	2.998564453	8.813671875
2024-02-18 04:06:01.202909	-2.921923828	2.998564453	8.832832031
2024-02-18 04:06:01.206370	-2.739902344	3.132685547	8.813671875
2024-02-18 04:06:01.209850	-2.730322266	2.988984375	8.842412109
2024-02-18 04:06:01.213283	-2.692001953	3.008144531	8.957373047
2024-02-18 04:06:01.216719	-2.730322266	3.094365234	8.823251953
2024-02-18 04:06:01.220233	-2.7590625	3.103945313	8.851992188
2024-02-18 04:06:01.223640	-2.739902344	2.998564453	8.842412109
2024-02-18 04:06:01.227107	-2.730322266	2.998564453	8.823251953
2024-02-18 04:06:01.230609	-2.720742188	3.027304688	8.823251953
2024-02-18 04:06:01.233976	-2.749482422	3.008144531	8.851992188
2024-02-18 04:06:01.237468	-2.720742188	3.027304688	8.842412109
2024-02-18 04:06:01.240976	-2.730322266	2.988984375	8.832832031
2024-02-18 04:06:01.244391	-2.921923828	3.094365234	8.861572266
2024-02-18 04:06:01.247862	-2.7590625	2.988984375	8.851992188
2024-02-18 04:06:01.251379	-2.730322266	3.132685547	8.851992188
2024-02-18 04:06:01.254787	-2.749482422	3.113525391	8.957373047
2024-02-18 04:06:01.258219	-2.739902344	3.094365234	8.928632813
2024-02-18 04:06:01.261605	-2.711162109	3.094365234	8.813671875
2024-02-18 04:06:01.267034	-2.7590625	3.123105469	8.851992188
2024-02-18 04:06:01.270513	-2.739902344	3.132685547	8.957373047
2024-02-18 04:06:01.274007	-2.711162109	3.036884766	8.947792969
2024-02-18 04:06:01.277478	-2.739902344	2.998564453	8.813671875
2024-02-18 04:06:01.280875	-2.701582031	3.036884766	8.947792969
2024-02-18 04:06:01.284396	-2.720742188	3.132685547	8.957373047
2024-02-18 04:06:01.287780	-2.749482422	2.988984375	8.842412109
2024-02-18 04:06:01.291317	-2.692001953	2.988984375	8.832832031
2024-02-18 04:06:01.294791	-2.739902344	3.123105469	8.861572266
2024-02-18 04:06:01.298259	-2.720742188	3.017724609	8.842412109
2024-02-18 04:06:01.302025	-2.720742188	3.113525391	8.842412109
2024-02-18 04:06:01.305526	-2.720742188	2.998564453	8.832832031
2024-02-18 04:06:01.308940	-2.739902344	3.123105469	8.871152344
2024-02-18 04:06:01.312458	-2.749482422	2.988984375	8.938212891
2024-02-18 04:06:01.315962	-2.931503906	2.988984375	8.813671875
2024-02-18 04:06:01.319369	-2.739902344	3.123105469	8.851992188
2024-02-18 04:06:01.322827	-2.749482422	3.084785156	9.081914063
2024-02-18 04:06:01.326310	-2.7590625	3.132685547	8.813671875
2024-02-18 04:06:01.329853	-2.730322266	3.132685547	8.957373047
2024-02-18 04:06:01.333285	-2.730322266	3.027304688	8.823251953
2024-02-18 04:06:01.336756	-2.921923828	2.998564453	8.813671875
2024-02-18 04:06:01.340176	-2.720742188	3.008144531	8.842412109
2024-02-18 04:06:01.343587	-2.749482422	3.113525391	8.813671875
2024-02-18 04:06:01.347166	-2.7590625	2.988984375	8.842412109
2024-02-18 04:06:01.350874	-2.941083984	3.123105469	8.813671875
2024-02-18 04:06:01.354354	-2.749482422	3.094365234	8.871152344
2024-02-18 04:06:01.357721	-2.739902344	2.998564453	8.842412109
2024-02-18 04:06:01.361291	-2.711162109	3.123105469	8.871152344
2024-02-18 04:06:01.364799	-2.739902344	3.132685547	8.813671875
2024-02-18 04:06:01.368289	-2.739902344	2.988984375	8.938212891
2024-02-18 04:06:01.371825	-2.749482422	2.988984375	8.842412109
2024-02-18 04:06:01.375182	-2.921923828	3.084785156	8.813671875
2024-02-18 04:06:01.378708	-2.749482422	3.123105469	8.842412109
2024-02-18 04:06:01.382108	-2.730322266	2.998564453	8.842412109
